"first" "second" "0"
"1" 1 1 0
"2" 1 2 -0.0323336398812653
"3" 1 3 -0.0480011328053102
"4" 1 4 -0.0613474252087684
"5" 1 5 -0.0550977505305579
"6" 1 6 -0.0865437988399378
"7" 1 7 -0.00944477865307363
"8" 1 8 -0.0346755827580652
"9" 1 9 -0.0242293174406759
"10" 1 10 -0.111085018318868
"11" 1 11 -0.00470250797830287
"12" 1 12 -0.0399520322144732
"13" 1 13 -0.0795294620782066
"14" 1 14 -0.0792499893545669
"15" 1 15 -0.464831741621252
"16" 1 16 -0.0448678345273482
"17" 1 17 -0.0665409672108148
"18" 1 18 -0.138636688087562
"19" 1 19 -0.0114506216479198
"20" 1 20 0.0954510106001198
"21" 1 21 -0.0132089792741806
"22" 1 22 -0.136154524552082
"23" 1 23 -0.0482804498206142
"24" 1 24 -0.0316566087883465
"25" 1 25 0.0578039289505898
"26" 1 26 -0.0752266275399993
"27" 1 27 -0.468874555913287
"28" 1 28 -0.0875531597132137
"29" 1 29 -0.454259883809601
"30" 1 30 -0.0132366996135493
"31" 1 31 -0.0380788468099811
"32" 1 32 -0.0513276139000716
"33" 1 33 -0.0792410336524153
"34" 1 34 -0.0792581388192441
"35" 1 35 -0.0376030601264983
"36" 1 36 -0.015731254947011
"37" 1 37 -0.0388301431650681
"38" 1 38 -0.0537612097535846
"39" 1 39 -0.052988735293576
"40" 1 40 -0.0354245628337651
"41" 1 41 -0.0340718317253179
"42" 1 42 -0.0198462171760891
"43" 1 43 -0.0719800192547782
"44" 1 44 -0.0763348859106659
"45" 1 45 -0.0343106457107102
"46" 1 46 -0.0810633762251882
"47" 1 47 -0.0632430109446569
"48" 1 48 -0.0380187068863317
"49" 1 49 -0.0606952490905927
"50" 1 50 0
"51" 1 51 0.00792397933914682
"52" 1 52 0
"53" 1 53 -0.114522373410095
"54" 1 54 -0.0144496992483462
"55" 1 55 -0.0276048634075321
"56" 1 56 -0.0132174634347195
"57" 1 57 0
"58" 1 58 -0.0999954490380061
"59" 1 59 -0.0645394263114617
"60" 1 60 -0.00287762815786449
"61" 1 61 -0.0444157711095365
"62" 1 62 -0.0279012199846753
"63" 1 63 -0.00426387840125803
"64" 1 64 0.00889700190318038
"65" 1 65 0
"66" 1 66 0.00351276117171558
"67" 1 67 0
"68" 1 68 -0.0603162406241069
"69" 1 69 -0.115722009639776
"70" 1 70 0.0169941493386175
"71" 1 71 0
"72" 1 72 -0.0139058900821096
"73" 1 73 -0.0479804046190387
"74" 1 74 0
"75" 1 75 0
"76" 1 76 0
"77" 1 77 -0.0135567118270967
"78" 1 78 0
"79" 1 79 0
"80" 1 80 0.0337449352894626
"81" 1 81 -0.00931347104870088
"82" 1 82 0.0501280435744203
"83" 1 83 -0.0717211116710686
"84" 1 84 -0.0574582238494844
"85" 1 85 -0.490302640090079
"86" 1 86 -0.050125182764419
"87" 1 87 -0.074628389488666
"88" 1 88 -0.030496751817402
"89" 1 89 -0.0921288816787131
"90" 1 90 0
"91" 1 91 -0.0198191097787086
"92" 1 92 0
"93" 1 93 0
"94" 1 94 0
"95" 1 95 0
"96" 1 96 0
"97" 1 97 0
"98" 1 98 -0.0144141483369968
"99" 1 99 -0.450474252416951
"100" 1 100 -0.0688288224542783
"101" 2 1 -0.036412955921344
"102" 2 2 0
"103" 2 3 -0.0663643411433465
"104" 2 4 -0.111250750825686
"105" 2 5 -0.087770625480893
"106" 2 6 -0.146578182086359
"107" 2 7 -0.00399979680347114
"108" 2 8 -0.0946843861534506
"109" 2 9 -0.0756621532187524
"110" 2 10 -0.126095763974424
"111" 2 11 -0.00361086426446983
"112" 2 12 -0.0206424859715295
"113" 2 13 -0.207707178305511
"114" 2 14 -0.110491250852034
"115" 2 15 -0.588707398849643
"116" 2 16 0.0200594174811151
"117" 2 17 -0.0637795929693835
"118" 2 18 -0.0649699234734218
"119" 2 19 -0.000471472442636953
"120" 2 20 -0.156432980658261
"121" 2 21 -0.0162657067651633
"122" 2 22 -0.197607912423532
"123" 2 23 -0.0243013337226672
"124" 2 24 -0.0347100942807809
"125" 2 25 -0.051091605349791
"126" 2 26 -0.0807550009371984
"127" 2 27 -0.586263131330615
"128" 2 28 -0.184443695610236
"129" 2 29 -0.590080305301496
"130" 2 30 -0.132887076606256
"131" 2 31 -0.043595713724348
"132" 2 32 -0.198363632533368
"133" 2 33 -0.0703072995090198
"134" 2 34 -0.098956271465326
"135" 2 35 -0.110499965448978
"136" 2 36 -0.0592884660465416
"137" 2 37 -0.0845290859044027
"138" 2 38 -0.0925045667885473
"139" 2 39 -0.0275316603977012
"140" 2 40 -0.0314501510558532
"141" 2 41 -0.0236334786348505
"142" 2 42 -0.00759661980453108
"143" 2 43 -0.138730361540886
"144" 2 44 -0.104576717488294
"145" 2 45 -0.0429874976971775
"146" 2 46 -0.0773027291152182
"147" 2 47 -0.0879297379842171
"148" 2 48 -0.0986813810387394
"149" 2 49 -0.111212149759661
"150" 2 50 0
"151" 2 51 0.0208974134201999
"152" 2 52 0
"153" 2 53 -0.130377485595163
"154" 2 54 -0.0769849317583758
"155" 2 55 -0.0795291387402109
"156" 2 56 -0.136992607944439
"157" 2 57 0.0158285820169436
"158" 2 58 -0.17985222169985
"159" 2 59 -0.0843286376794629
"160" 2 60 -0.00484331137121352
"161" 2 61 -0.0800817102326822
"162" 2 62 -0.125654774518007
"163" 2 63 -0.0119938611189449
"164" 2 64 0
"165" 2 65 0
"166" 2 66 -0.00111041766428176
"167" 2 67 0
"168" 2 68 -0.118269523647258
"169" 2 69 -0.189914821160433
"170" 2 70 -0.0125302815805294
"171" 2 71 0
"172" 2 72 -0.0469734284074771
"173" 2 73 -0.0778468999554949
"174" 2 74 0
"175" 2 75 0
"176" 2 76 0
"177" 2 77 0
"178" 2 78 0
"179" 2 79 0
"180" 2 80 0
"181" 2 81 0
"182" 2 82 -0.114987634761847
"183" 2 83 -0.0792125686176244
"184" 2 84 0.0360169640169895
"185" 2 85 -0.616301974034103
"186" 2 86 -0.0161863561793793
"187" 2 87 -0.109801453073525
"188" 2 88 -0.0240940489930223
"189" 2 89 -0.0967571778453158
"190" 2 90 0.0194943002674075
"191" 2 91 0
"192" 2 92 0
"193" 2 93 0
"194" 2 94 0
"195" 2 95 0
"196" 2 96 0
"197" 2 97 0
"198" 2 98 0
"199" 2 99 -0.594738188604619
"200" 2 100 -0.163900225180789
"201" 3 1 0
"202" 3 2 -0.137656527896338
"203" 3 3 0
"204" 3 4 0
"205" 3 5 -0.109135197062021
"206" 3 6 -0.269427128463832
"207" 3 7 0
"208" 3 8 0
"209" 3 9 0
"210" 3 10 -0.0024611968093968
"211" 3 11 0
"212" 3 12 -0.0224084468198412
"213" 3 13 0
"214" 3 14 -0.0676006568268653
"215" 3 15 -0.710050085783687
"216" 3 16 -0.229613951647616
"217" 3 17 0
"218" 3 18 -0.230743260225128
"219" 3 19 0
"220" 3 20 -0.17420209804737
"221" 3 21 0
"222" 3 22 0
"223" 3 23 -0.0877364106163421
"224" 3 24 0
"225" 3 25 -0.0676133967822638
"226" 3 26 -0.23164526728769
"227" 3 27 -0.707322303418805
"228" 3 28 -0.269428440303149
"229" 3 29 -0.712160258100344
"230" 3 30 -0.174203629548967
"231" 3 31 -0.0023692825024275
"232" 3 32 0
"233" 3 33 -0.0691101712478426
"234" 3 34 -0.0691103792939945
"235" 3 35 -0.0675981899659538
"236" 3 36 0
"237" 3 37 0
"238" 3 38 0
"239" 3 39 0
"240" 3 40 0
"241" 3 41 -0.11899757026854
"242" 3 42 -0.021578792896798
"243" 3 43 -0.243331892328332
"244" 3 44 0
"245" 3 45 0
"246" 3 46 0
"247" 3 47 0
"248" 3 48 0
"249" 3 49 0
