,Name,Times Found First,Unique Responders,Unique Partners,Median Rank,Median False Hits,Median Potential Mechs,Median Mechs
cpd00013,NH3,11,5,9,7,1,36,11
cpd00023,L-Glutamate,80,18,32,4,1,40,14
cpd00024,2-Oxoglutarate,1,1,1,1,0,75,28
cpd00027,D-Glucose,113,25,45,5,2,32,9
cpd00028,Heme,5,2,5,1,0,48,19
cpd00035,L-Alanine,17,9,9,2,1,63,21
cpd00036,Succinate,10,7,7,1,0,17.5,3.5
cpd00039,L-Lysine,245,21,56,2,0,46,15
cpd00047,Formate,142,17,19,2,0,44,16
cpd00051,L-Arginine,32,7,19,2,0,17.5,3
cpd00053,L-Glutamine,252,27,33,3,1,48,16
cpd00054,L-Serine,15,7,14,4,1,40,14
cpd00060,L-Methionine,6,2,6,6.5,2,17.5,2.5
cpd00064,Ornithine,9,7,4,12,0,22,6
cpd00065,L-Tryptophan,4,4,1,7,2.5,45.5,16.5
cpd00066,L-Phenylalanine,2,2,2,2.5,0,35.5,14.5
cpd00076,Sucrose,3,3,2,4,1,59,28
cpd00080,G3P,176,23,34,2,0,38,12.5
cpd00082,D-Fructose,1041,45,51,4,1,50,16
cpd00092,Uracil,20,3,18,2.5,1,49,17
cpd00105,D-Ribose,145,19,29,2,1,19,3
cpd00106,Fumarate,58,10,17,1,0,16,3
cpd00107,L-Leucine,3,2,3,7,2,56,17
cpd00108,Galactose,19,6,12,3,0,49,16
cpd00117,D-Alanine,8,4,7,4,1,49,18
cpd00118,Putrescine,17,4,15,3,0,52,16
cpd00122,N-Acetyl-D-glucosamine,58,8,24,3,0,42.5,8
cpd00129,L-Proline,116,16,34,6.5,1,16,2
cpd00130,L-Malate,1,1,1,12,2,53,21
cpd00133,Nicotinamide,5,4,2,3,2,51,22
cpd00136,4-Hydroxybenzoate,1,1,1,3,1,67,28
cpd00137,Citrate,10,4,10,7.5,0,23.5,3
cpd00156,L-Valine,59,10,35,4,1,49,17
cpd00158,CELB,2,2,2,14.5,7.5,51,14.5
cpd00159,L-Lactate,24,5,17,1,0,41.5,11.5
cpd00161,L-Threonine,1,1,1,1,0,104,32
cpd00162,Aminoethanol,149,17,17,2,1,66,23
cpd00179,Maltose,151,37,41,6,1,42,13
cpd00182,Adenosine,66,25,24,3,1.5,33.5,7
cpd00184,Thymidine,13,6,7,4,1,35,11
cpd00185,D-Arabinose,1,1,1,2,0,53,19
cpd00208,LACT,5,2,5,3,1,99,45
cpd00220,Riboflavin,82,4,47,5,0,22.5,6
cpd00226,HYXN,5,4,5,10,2,40,9
cpd00246,Inosine,192,27,30,3,1,33,8
cpd00249,Uridine,17,12,7,2,0,10,3
cpd00264,Spermidine,99,15,22,5,2,46,16
cpd00268,H2S2O3,2,1,2,2.5,1,100.5,47
cpd00276,GLUM,2,2,2,5.5,3.5,54.5,16.5
cpd00277,Deoxyguanosine,197,22,24,2,0,36,9
cpd00305,Thiamin,5,5,3,3,1,49,19
cpd00309,XAN,13,4,11,6,0,43,14
cpd00311,Guanosine,18,11,8,1,0,14,2.5
cpd00322,L-Isoleucine,44,16,22,5,2,45,14.5
cpd00355,Nicotinamide ribonucleotide,5,4,3,8,3,50,14
cpd00367,Cytidine,66,26,23,4,0,18,5
cpd00393,Folate,6,4,5,3,0,43.5,16.5
cpd00438,Deoxyadenosine,26,13,14,6,2,37.5,8
cpd00516,"meso-2,6-Diaminopimelate",75,4,27,1,0,48,15
cpd00644,PAN,20,8,17,6,1,44,16.5
cpd00654,Deoxycytodine,161,27,30,3,1,36,9
cpd00655,Dephospho-CoA,2,2,2,15.5,8,53,18
cpd00794,TRHL,14,5,11,2,0,16,3
cpd01017,Cys-Gly,51,13,29,3,1,18,4
cpd01080,ocdca,33,8,11,2,1,63,22
cpd03279,Deoxyinosine,98,21,26,3,1,36,8.5
cpd11581,gly-asn-L,347,51,59,9,3,45,14
cpd11582,ala-L-Thr-L,11,9,7,9,3,44,15
cpd11583,Ala-Leu,13,10,7,8,3,33,10
cpd11584,Ala-His,8,2,7,9.5,0,16,4
cpd11585,L-alanylglycine,86,25,26,6,2,56.5,21.5
cpd11586,ala-L-glu-L,29,20,14,9,4,43,15
cpd11588,gly-pro-L,28,16,19,11.5,4,40.5,14
cpd11589,gly-asp-L,261,52,57,8,2,45,14
cpd11590,met-L-ala-L,1,1,1,98,9,13,2
cpd11591,Gly-Met,16,6,8,2,0,32,7
cpd11593,ala-L-asp-L,308,52,58,8,2,45,14
cpd11606,Menaquinone 7,8,5,5,4.5,1.5,59,20
cpd15604,Gly-Leu,23,17,13,10,2,46,17
cpd15605,Gly-Phe,47,29,28,12,5,41,11
cpd15606,Gly-Tyr,47,31,18,11,4,40,13
cpd16336,Isoprene,1,1,1,2,0,37,14
