"FirstNeg" "SecondNeg" "FirstPos" "SecondPos" "TotalMechs" "TotalNeg" "TotalPos" "FalseMech1" "FalseMech2" "FalseMech3" "FalseMech4" "exRf$y"
"1" 1 2 145 86 41 14 2 0 1 1 10 "-1"
"2" 4 5 176 161 62 15 6 1 2 3 5 "-1"
"3" 4 12 100 0 48 14 1 2 7 10 0 "-1"
"4" 3 18 176 0 49 15 1 2 10 0 0 "-1"
"5" 4 9 23 0 56 17 1 2 6 40 0 "-1"
"6" 6 10 137 0 37 12 1 2 5 4 0 "-1"
"7" 3 6 62 52 41 12 2 0 2 16 18 "-1"
"8" 4 7 0 0 34 12 0 1 3 0 0 "-1"
"9" 4 10 25 0 56 17 1 2 6 40 0 "-1"
"10" 1 7 0 0 21 8 0 0 2 0 0 "-1"
"11" 2 3 0 0 50 20 0 1 2 0 0 "-1"
"12" 4 8 157 33 40 12 2 2 6 3 21 "-1"
"13" 2 4 75 0 51 14 1 1 3 15 0 "-1"
"14" 3 4 0 0 60 18 0 1 2 0 0 "-1"
"15" 3 5 114 17 52 17 2 1 3 9 41 "-1"
"16" 8 9 0 0 42 17 0 4 5 0 0 "-1"
"17" 8 11 0 0 53 18 0 4 7 0 0 "-1"
"18" 4 5 38 10 38 10 2 2 3 17 29 "-1"
"19" 3 14 165 45 49 13 2 0 8 4 20 "1"
"20" 6 10 181 0 51 19 1 3 5 0 0 "-1"
"21" 3 6 35 0 56 19 1 2 5 35 0 "-1"
"22" 15 23 28 0 35 11 1 6 9 23 0 "-1"
"23" 17 29 10 0 41 9 1 10 17 36 0 "-1"
"24" 5 7 17 0 37 11 1 0 1 30 0 "1"
"25" 6 10 85 31 45 12 3 2 5 10 26 "-1"
"26" 3 13 164 83 62 19 2 1 5 5 31 "-1"
"27" 4 6 156 126 52 15 4 2 3 2 7 "-1"
"28" 2 3 183 102 60 19 2 1 2 3 24 "-1"
"29" 13 16 88 65 42 9 4 9 11 10 14 "-1"
"30" 4 10 0 0 52 17 0 2 6 0 0 "-1"
"31" 2 3 177 141 43 12 3 0 1 0 4 "-1"
"32" 3 12 59 0 51 14 1 1 6 16 0 "-1"
"33" 6 9 54 45 51 14 2 3 5 17 23 "-1"
"34" 7 13 103 33 51 11 2 3 6 9 28 "-1"
"35" 11 43 142 52 39 6 4 3 18 3 17 "-1"
"36" 4 5 177 40 49 16 3 2 3 0 29 "-1"
"37" 9 13 66 53 42 13 2 6 8 13 17 "-1"
"38" 10 15 0 0 27 6 0 1 4 0 0 "-1"
"39" 2 3 9 0 43 11 1 0 1 36 0 "-1"
"40" 7 9 22 0 38 10 1 4 5 25 0 "-1"
"41" 4 17 0 0 34 11 0 1 10 0 0 "-1"
"42" 4 5 26 0 43 14 1 1 2 29 0 "-1"
"43" 4 8 0 0 46 15 0 2 5 0 0 "-1"
"44" 5 17 75 47 40 10 2 2 6 13 17 "-1"
"45" 7 9 0 0 48 15 0 4 5 0 0 "-1"
"46" 6 11 0 0 45 12 0 4 7 0 0 "-1"
"47" 7 9 52 0 45 14 1 3 5 19 0 "-1"
"48" 5 6 48 12 45 14 2 1 2 19 38 "-1"
"49" 13 26 0 0 18 4 0 2 6 0 0 "1"
"50" 122 183 190 103 15 2 2 8 13 0 8 "1"
"51" 8 26 0 0 16 2 0 0 5 0 0 "1"
"52" 5 13 181 51 53 15 2 2 7 4 27 "-1"
"53" 14 16 106 75 46 12 3 7 8 12 15 "-1"
"54" 4 13 44 9 27 6 2 1 6 12 22 "-1"
"55" 9 14 178 177 49 8 3 6 10 6 7 "-1"
"56" 20 95 0 0 17 2 0 6 13 0 0 "1"
"57" 6 12 164 105 57 14 5 3 8 5 14 "-1"
"58" 7 21 0 0 46 14 0 4 11 0 0 "-1"
"59" 3 4 25 0 36 11 1 0 1 20 0 "-1"
"60" 5 14 66 0 40 11 1 3 8 14 0 "-1"
"61" 9 25 91 0 36 9 1 4 12 7 0 "-1"
"62" 6 16 45 9 36 10 2 2 6 16 32 "-1"
"63" 40 52 107 7 21 4 2 4 6 10 20 "1"
"64" 3 9 0 0 17 4 0 0 2 0 0 "1"
"65" 0 0 49 45 36 0 2 0 0 13 14 "1"
"66" 0 0 0 0 47 0 0 0 0 0 0 "1"
"67" 2 5 151 78 54 12 3 0 1 7 18 "-1"
"68" 7 11 67 27 45 13 3 4 7 15 28 "-1"
"69" 23 34 153 58 38 10 2 6 10 3 18 "1"
"70" 19 NA 0 0 14 1 0 2 0 0 0 "1"
"71" 12 17 49 6 41 10 2 5 7 19 38 "-1"
"72" 5 7 0 0 42 12 0 3 4 0 0 "-1"
"73" 13 NA 0 0 17 1 0 2 0 0 0 "1"
"74" 3 10 0 0 17 3 0 0 3 0 0 "1"
"75" 21 NA 0 0 16 1 0 6 0 0 0 "1"
"76" 2 NA 0 0 20 1 0 1 0 0 0 "-1"
"77" 23 45 0 0 16 2 0 6 10 0 0 "1"
"78" 0 0 0 0 14 0 0 0 0 0 0 "1"
"79" 0 0 40 0 19 0 1 0 0 14 0 "1"
"80" 4 44 0 0 20 3 0 2 12 0 0 "-1"
"81" 2 13 42 19 54 14 2 0 10 30 39 "1"
"82" 5 6 159 20 42 9 2 2 3 2 28 "-1"
"83" 12 34 0 0 53 11 0 5 16 0 0 "-1"
"84" 3 5 177 100 64 19 2 1 3 3 26 "-1"
"85" 7 14 0 0 44 14 0 2 7 0 0 "-1"
"86" 4 10 0 0 50 14 0 2 5 0 0 "-1"
"87" 3 6 70 0 40 11 1 0 1 12 0 "-1"
"88" 15 22 181 17 56 16 2 8 13 3 46 "-1"
"89" 18 157 0 0 17 2 0 7 16 0 0 "1"
"90" 2 14 0 0 17 2 0 0 6 0 0 "-1"
"91" 11 14 0 0 16 2 0 2 4 0 0 "1"
"92" 17 NA 0 0 15 1 0 3 0 0 0 "1"
"93" 16 24 0 0 16 2 0 3 6 0 0 "1"
"94" 19 61 0 0 17 2 0 6 11 0 0 "1"
"95" 20 22 0 0 16 2 0 2 3 0 0 "1"
"96" 10 NA 0 0 15 1 0 0 0 0 0 "1"
"97" 4 93 0 0 19 2 0 2 16 0 0 "-1"
"98" 3 6 125 93 59 19 2 2 3 14 26 "-1"
"99" 6 8 0 0 47 14 0 3 4 0 0 "-1"
"100" 2 3 137 42 41 14 2 0 1 2 16 "-1"
"101" 2 3 174 145 58 14 7 0 1 7 13 "-1"
"102" 4 5 55 0 48 19 1 0 1 20 0 "-1"
"103" 3 4 152 0 49 19 1 1 2 3 0 "-1"
"104" 1 2 75 50 59 29 2 0 1 18 28 "-1"
"105" 2 3 38 0 36 11 1 0 1 16 0 "-1"
"106" 3 15 170 160 51 16 3 0 4 3 5 "-1"
"107" 11 18 0 0 36 15 0 0 6 0 0 "-1"
"108" 2 10 172 56 48 15 3 0 3 0 18 "-1"
"109" 1 2 187 0 34 16 1 0 1 0 0 "-1"
"110" 1 2 126 66 52 24 2 0 1 6 18 "-1"
"111" 14 18 41 0 41 15 1 3 5 21 0 "-1"
"112" 1 2 52 32 44 18 2 0 1 13 23 "-1"
"113" 1 5 192 124 64 22 3 0 2 0 19 "-1"
"114" 8 10 142 107 52 21 4 1 2 11 16 "1"
"115" 3 4 51 0 37 16 1 0 1 10 0 "-1"
"116" 1 3 98 80 50 21 2 0 1 11 13 "-1"
"117" 7 14 77 75 45 13 4 0 4 12 13 "-1"
"118" 5 7 0 0 55 17 0 2 3 0 0 "-1"
"119" 1 2 84 74 49 21 2 0 1 13 15 "-1"
"120" 1 2 118 90 56 25 3 0 1 8 12 "-1"
"121" 6 7 194 150 34 15 4 2 3 0 4 "-1"
"122" 2 7 0 0 29 10 0 0 1 0 0 "-1"
"123" 1 3 0 0 38 15 0 0 1 0 0 "-1"
"124" 1 5 129 74 44 18 3 0 1 7 13 "-1"
"125" 1 7 192 99 64 23 3 0 4 1 25 "-1"
"126" 1 2 63 61 56 27 2 0 1 23 24 "-1"
"127" 3 7 164 159 64 22 5 2 4 11 13 "-1"
"128" 5 10 127 66 45 18 2 0 3 5 15 "-1"
